K1d12_001_0 fG
K1d12_001_1 yCa
K1d12_002_0 DAAaaAAAbaCaAAcbAaaaAAaAaaAaEfaA-BaABbBaaaAAAABbCaaaaaAaaAaAAAABAbb-AaAaAaAAaaA---AAcA-AaaaABcAaaBaaAdABadGAaAaABaaaAb-D-aAaAaaa-ACCCAabAa-bAabAAAAaB-aaA--AaaaA-AaaaEeAAAaBAaCbBba--AaAaaaAaa-
K1d12_002_1 eD-A--AaaAAAbaAABlGAaaAb-aBa--CAaBaaaAAfEaA-bAAaaaaaaAbBb-aAAaaCAdAAA-aaAAaDaAab-aAaacaAABab--AaaaAaaaaaAAaAGcAaAaaaBaaaAAaBaaaaadEACaAcaAaABaaaaaaDaaAAAAAbAAAdAAaA--AaaaaAAbacAdAAaAAdzAAAAcAaB--dAABAabAaEcaCAaaaECeaAaaaAbaAAAaAbaAaaaB-AaaaAbaAAA
K1d12_003_0 ---A-Aa--aaaAaaAaaAaaDaCaaACeaaEaAaaaaA-aAaD-bAbCabaaAaaaAaEeaFebDcAad-Aa-aAaaBDdAahDAdaAAaxbaaaACcAaaAaaaAAaya-GcAbAa-AazAaaaAaAAAdCaAAaaaAaAAAdCaAfzAAaAaA-aAbaC-aAbaABaa-AA-b-Aa-aaAAebawAA-AaaaHAAcCcAaaaaaaAaaAaCaAAAa-AaaaAAAaCAAAaaAaD-AdA-bA
K1d12_003_1 --B--c--aaCa-aBAaCaaaaAbEaaCeaaABaaaaaCdAA-AAaaAaAA-aaacAAaAaAaAAaaAaAAaA-CcAaBbaa----BaaCab--aaBabaCaABbAbAAbAAAaaaaAaCaA-aBAAacC-cAaaaCaA--AaaaAaaAaaAaaAaEdaABAAAbAaAaBaacAAaAaCaAAAbABaa
K1d12_004_0 AAA-AaaBaaaEbAaAaabacaAa-AaaAAbaC-aaAAAAAaaA-AFcab-AaAAaaA----aaaBaAAabAaaDdAA-caAaaaAAA-bAdb-caEdaaaAbaAAAAAaaA-aDaaaaazCcAaC-cA-EeaaAaBaaaAaaAaAabAAAAaCaaacaAaaaaBaBaaaaDCdAaaAAAaaaAaa-avvAAAdGb-aaCgAbAAauAAAAdFaaaaaavAabAaBabAawabaAGd-aCBbaaaaACaAAAaCa-aA-aAaaaaAaA
K1d12_004_1 EAaaAAAbaAAfbAaaaAaC-AaAaaBBaaaAaADeaAA-aAAAaAcAa--aaaBaAAAdaaaEeAAfAAAaaaAb-JcaCCeaAAaaa-cCAdAAaaACaCccCAA-bBaCbAacaA-AbcAaaAaaCAeAaAAaACcaAaEacaACac--Cgc-B-F
K1d12_005_0 AA-cb-AaaaAacGaaAaabadAa-AaaAAbaBAaaAAAAAaaAAA-BaaaAaaAaAaAA-aA--aaaBaaAAabAaaDdAAbAaaaAAA-aaABfdAaAab-AbaAAAAAaaAAaCaaaaCaCcAaC-A--BCeaaAaBcacaaAAaabAAAAaCaaacaAaaaaBaBaaABCdAbAAAaaaAaa-aAvAAAdGb-aaacAbAAauAAAAdvaaaaaavAabAaBabAawabAaGac-aCcbaaaAaCaAAaBAabAAAaAaDAaaaAaAc
K1d12_005_1 -AaaAAAbaAcbAaaaAaAA-AaaBBaaaDeCbaaAA-aAAAaA-cAaaAa-aaaBaAAAddaaaEeBAAeAAaaaAHcaCcAaAAaaa-AacAAaaAB--AAbBaAaba-AbDcAaaAaCdAaAA-Cc-DacaABcAaCadAB
K1d12_006_0 c---AA-aaAAaaaA-AAaaaAabAAabAAAbA-aACc-Aaa-aA-aaaaawAAAaaBaybAAxBaAaaBaAAaaaaAADaCdabB-dAaacAAAAaCcAaAaAbABaAAcAAaDAADfAaAaaaAwAAIBCdaABAaaaAaaaCaaaaGaaaAa-aABAAa--aaAAaaaAAaaaAaaaaAAaaaAaAABFd--
K1d12_006_1 -aAAAaAcaaaBBaaaaaaAAAA--aACbAaAaaABbAaaA----abBaaaaEAaaaaaA--AaAAAAbaaaDADb-cAaaaAAbAaaaaB--AaaAAAbAaaaCAaAaaaD-acaaCABaBaAaaaAcaBa-aAaAAbABaaaaAAeaCfc-AaaA-uaaaAAAvbAtbBAAb-AaaaCvbsaaAAAtbaba-ABaaaACaA--CbbB--aA--CBaAaAdbaAAa-EcacAwAbCzcAAxbaAAA-aab-AAAbAacCw
